,haiku,colors,lines,syllables,total_syllables
39,snow field / the earth marked / by fallen angels,"['snow', 'earth']",3,"(2, 4, 5)",11
40,setting sun / an accordion squeezes / the night air,[],3,"(3, 6, 3)",12
41,no moon / the click of stilettos / on cobblestones,[],3,"(2, 6, 5)",13
42,flowing estuary / native languages / long gone,[],3,"(5, 6, 2)",13
43,in the hot tub / my eyes on her floating breasts / hunters moon,[],3,"(4, 7, 3)",14
44,rosebud unfolding / the seed packet left behind / in revelations,[],3,"(6, 7, 5)",18
45,no escaping / this moonlight / pompeii,[],3,"(4, 3, 2)",9
46,river mud / the shape / of boys,[],3,"(3, 3, 2)",8
47,desert twilight / a map with many creases / nailed to a cross,['desert'],3,"(4, 7, 5)",16
48,we huddle / over mothers open grave / lawless winter,[],3,"(3, 8, 4)",15
49,a long bus ride / the prophetic language / of the stops,[],3,"(4, 7, 3)",14
50,navajo moon / the coyote call / not a coyote,[],3,"(4, 4, 4)",12
51,deleting words / from the eulogy / falling leaves,[],3,"(4, 5, 4)",13
52,calla lily / the sound of a ladder / lengthening,[],3,"(3, 6, 3)",12
53,tasting the well / in the water / summer stars,['water'],3,"(4, 4, 3)",11
54,mothers day / the expiration date / on wildflower seeds,[],3,"(3, 6, 5)",14
55,northern lights / the scratchy play / of seventy eights,[],3,"(3, 4, 5)",12
56,a recurring escape / from my fathers dream,[],2,"(7, 5)",12
57,the big dipper / no matter where i stand / mountain sky,['sky'],3,"(4, 7, 3)",14
58,summer passing / the yard flamingos / rusty legs,['rusty'],3,"(4, 5, 3)",12
59,glint of sunlight / the respirator carries on / alone,[],3,"(4, 8, 3)",15
60,all souls day / my name called / from the front gate,[],3,"(3, 4, 4)",11
61,autumn / an empty booster seat / in the barber's window,[],3,"(2, 6, 6)",14
62,hunter's cabin / of the woods / not of it,[],3,"(4, 3, 3)",10
63,end of the walk / returning the crow's feather / where i found it,[],3,"(4, 7, 5)",16
64,cafe for sale / outdoor tables rusting / into autumn,[],3,"(4, 6, 4)",14
65,day lilies / another death date added / to the family tree,[],3,"(3, 7, 6)",16
66,the house finch / has a song for it / morning after snow,['snow'],3,"(4, 5, 5)",14
67,crescent moon / a bone carver sings / to his ancestor,['bone'],3,"(3, 5, 5)",13
68,close enough to touch / i let the junco lead me / away from its nest,[],3,"(6, 7, 5)",18
69,blowing leaves / tempt the old cat / but not enough,[],3,"(4, 4, 4)",12
70,ancient mountains / runners clearing hurdles / on the practice field,[],3,"(4, 6, 6)",16
71,thanksgiving / fifteen minutes / of mince pie,[],3,"(3, 5, 4)",12
72,blossoms / the babys bare feet / pedal the air,[],3,"(2, 5, 4)",11
73,butterfly / my attention / attention span,[],3,"(3, 4, 4)",11
74,one moth / a thousand candles / light the darkness,[],3,"(3, 5, 4)",12
75,trails end / my pebble / settles the cairn,[],3,"(2, 3, 4)",9
76,family reunion / some of the beached kelp / in knots,[],3,"(5, 6, 2)",13
77,a jar of pennies / on the lemonade stand / evening cool,[],3,"(5, 7, 4)",16
78,lightning / the scarecrow's coat sleeve / caught in mid wave,[],3,"(2, 7, 4)",13
79,summer's end / the hammock turned in / on itself,[],3,"(3, 6, 3)",12
80,charcoal alley / children flick marbles / into the light,['charcoal'],3,"(4, 5, 4)",13
81,season of lights / the postman / leans to the wind,[],3,"(4, 3, 4)",11
82,having no thought / we've come to see them / dogwoods in bloom,[],3,"(4, 6, 4)",14
83,turning tide / placing intact clams / back in the water,['water'],3,"(3, 5, 5)",13
84,mallard pair / he rocks / on her wake,[],3,"(3, 2, 3)",8
85,filtering in / with the night air / a skunk's warning,[],3,"(4, 4, 4)",12
86,stone in my pocket / the brook cuts deeper / into the mountain,['stone'],3,"(6, 5, 5)",16
87,a bee chose / the rose i meant to pluck / empty vase,[],3,"(4, 6, 3)",13
88,soba noodles / the new year / slips in,[],3,"(4, 3, 2)",9
89,hazy dusk / no one bothered to plow / the graveyard road,['dusk'],3,"(3, 8, 4)",15
90,child's wake / the weight / of rain,[],3,"(2, 2, 2)",6
91,gunshot / the length of the lake,[],2,"(2, 5)",7
92,a stick caught / on the lip of the dam / winter's end,[],3,"(3, 6, 3)",12
93,summer stars / the old violin goes / to the highest bidder,[],3,"(3, 5, 6)",14
94,winter drags on / i squeeze the last drops / from a teabag,[],3,"(4, 6, 4)",14
95,distant thunder / a titmouse gives one chirp / and falls silent,[],3,"(4, 9, 4)",17
96,alzheimer's birthday / each slice of the cake / takes part of her name,[],3,"(5, 6, 6)",17
97,march winds / a decade has passed / by your grave,[],3,"(2, 7, 4)",13
98,indian summer / a spent salmon / washes ashore,['salmon'],3,"(4, 4, 5)",13
99,after the funeral / whiskers still / in his razor,[],3,"(6, 3, 4)",13
100,the page finders / of my fathers daily missal / losing their colors,[],3,"(4, 8, 5)",17
101,first buds of spring / i change the washers setting / to delicate,[],3,"(4, 8, 5)",17
102,among the gravestones / with names worn away / children play hide n seek,[],3,"(7, 6, 6)",19
103,whalebone / from a beach near savoonga / winter rain,[],3,"(4, 7, 3)",14
104,all saints morning / a path / of trodden leaves,[],3,"(4, 2, 5)",11
105,cremated / in her favorite kimono / small green plums,['green'],3,"(3, 9, 3)",15
106,spring rain / the gravedigger latches the door / of his backhoe,[],3,"(2, 9, 4)",15
107,spring rain / the cat's pink nipples,['pink'],2,"(2, 5)",7
108,loon calls / my daughter drawing circles / near the fire,[],3,"(2, 7, 3)",12
109,summer evening / from across the meadow / a call to supper,[],3,"(5, 6, 5)",16
110,shivering on the roof / i rub my palms together / meteor shower,[],3,"(6, 7, 4)",17
111,ocean breeze / a strand of seaweed / steadies the kite,"['ocean', 'seaweed']",3,"(4, 5, 4)",13
112,autumn rose / even as i sketch the wind / more petals fall,[],3,"(3, 7, 4)",14
113,humid july / from the stove the smell / of old fires,[],3,"(4, 6, 4)",14
114,the wind of autumn / a homeless man warms himself / hand to mouth,[],3,"(5, 8, 3)",16
115,broken easel / the front yard blue / with wildflowers,['blue'],3,"(4, 4, 4)",12
116,heat waves / the hitchhiker shifts her child / to the other hip,[],3,"(3, 7, 5)",15
117,land's end / sand in each bite / of my apple,"['sand', 'apple']",3,"(2, 4, 4)",10
118,indian summer / a fish slips through / the gill net,[],3,"(4, 4, 3)",11
119,her 18th birthday / for the first time she notices / my silences,[],3,"(4, 8, 4)",16
120,spring sunshine / the climbing ivy / filled with sparrows,[],3,"(4, 5, 5)",14
121,meteor shower / a gentle wave / wets our sandals,[],3,"(4, 4, 4)",12
122,mountain hike / we drink from the beginning / of a great river,[],3,"(3, 7, 5)",15
123,spring sun / high in his arms / the newborn is shown,[],3,"(2, 4, 5)",11
124,snail / to know / its heart beats too,[],3,"(1, 2, 4)",7
125,lethal injection / unable to shut / the blind dog's eyes,[],3,"(5, 5, 4)",14
126,end of summer / the shape of his feet / in his sneakers,[],3,"(4, 6, 4)",14
127,geronimo's grave / someone has left / plastic flowers,[],3,"(6, 5, 4)",15
128,new in town / the scent / of unknown flowers,[],3,"(3, 2, 5)",10
129,foghorns / we lower a kayak / into the sound,[],3,"(2, 5, 4)",11
130,catalog time / the garden begins / without a seed,[],3,"(4, 5, 4)",13
131,new butterfly / folded wings / lean into the wind,[],3,"(4, 3, 5)",12
132,morning overcast / a few seeds still dangle / from the dandelion,['dandelion'],3,"(5, 6, 5)",16
133,break up / i leave behind / her butterfly net,[],3,"(2, 5, 5)",12
134,walking home barefoot / we enter the shadow / of the hill,['shadow'],3,"(6, 6, 3)",15
135,autumn evening / a page of the old book / separates from the spine,[],3,"(5, 6, 8)",19
136,funeral procession / snowflakes blowing / into the headlights,[],3,"(6, 5, 5)",16
137,autumn evening / my hospital window / becomes a mirror,[],3,"(5, 6, 6)",17
138,storm clouds / the cry of a shearwater / circles the sky,['sky'],3,"(2, 7, 4)",13
139,late into the night / we talk of revelations / moon through the pines,[],3,"(5, 7, 5)",17
140,the kettle whistles / a blur of garden color / on the window,[],3,"(5, 7, 4)",16
141,winter beach / a piece of driftwood / charred at one end,[],3,"(3, 6, 6)",15
142,riveredge old growth / a towering window / of stars,[],3,"(6, 6, 2)",14
143,i'm caught in it too / the blossom loosening wind,[],2,"(5, 7)",12
144,over the railroad tracks / the slow motion / of a snake,[],3,"(6, 4, 4)",14
145,the beetle i righted / flies straight into / a cobweb,[],3,"(6, 4, 3)",13
146,leaf in my palm / its stem extends / my lifeline,['leaf'],3,"(4, 4, 5)",13
147,about the tree / over my small son's grave / tell me,[],3,"(4, 7, 2)",13
148,musty smell / forgotten deep / into the text,[],3,"(3, 4, 4)",11
149,that venus / leading the cupped moon / through every turn of the road,[],3,"(3, 6, 8)",17
150,grabs and opens / the fist / sowing seeds,[],3,"(4, 2, 3)",9
151,the river / coming to it with nothing / in my hands,[],3,"(3, 7, 3)",13
152,deep silence / the orphaned nestlings / this third morning,[],3,"(4, 6, 4)",14
153,summer solstice / the long tips of lavender / bent by bees,['lavender'],3,"(5, 7, 3)",15
154,snowbound / coloring inside / the lines,[],3,"(2, 6, 3)",11
155,the dumproad pond / tadpoles exit / a birdhouse,[],3,"(4, 5, 4)",13
156,still sun warmed / the pulled out scarecrow / in my arms,[],3,"(4, 7, 3)",14
157,changing the swallowtail / changed by it / the spring wind,[],3,"(6, 4, 3)",13
158,letting the branch go / a shower of petals falls / on the old woman,[],3,"(5, 7, 5)",17
159,toll booth lit for christmas / from my hand to hers / warm change,[],3,"(6, 5, 3)",14
160,winter seclusion / tending all day / the small fire,[],3,"(5, 4, 3)",12
161,on the path / only one of us / touched by a falling leaf,['leaf'],3,"(3, 6, 7)",16
162,winter bedtime / static flickers / through a white sleeve,['white'],3,"(5, 4, 6)",15
163,warm river / up to our necks / in sunset,['sunset'],3,"(3, 4, 3)",10
164,beneath the ice / the waterfall / still falling,['ice'],3,"(5, 4, 3)",12
165,old garden chair / sagging with the weight / of a single leaf,['leaf'],3,"(4, 5, 5)",14
166,after the stroke / watching only the half of your face / that smiles,[],3,"(5, 9, 3)",17
167,city window / mountains and pines / etched in frost,[],3,"(4, 5, 4)",13
168,autumn deepens / an empty snail shell / explored by an ant,[],3,"(4, 5, 6)",15
169,early morning sun / scattered on the table / several grains of salt,[],3,"(5, 7, 6)",18
170,snowflakes / no one will miss / melt in her hand,[],3,"(3, 5, 4)",12
171,bright leaves / blow through / her dream house,[],3,"(3, 2, 4)",9
172,scattering his ashes / the moon / in bits and pieces,[],3,"(6, 2, 5)",13
173,on the river / of many names one cloud / floating,[],3,"(4, 8, 2)",14
174,learning too late / he didn't like bubinga wood / sun strikes the urn,[],3,"(4, 7, 5)",16
175,the war memorial / migrating butterflies / cover the names,[],3,"(5, 6, 5)",16
176,falling leaves / the house comes / out of the wood,[],3,"(4, 5, 4)",13
177,leaving you / fog on either side / of the white heron,['white'],3,"(3, 5, 6)",14
178,below zero / all curled up in the woodpile / the skin of a snake,[],3,"(4, 9, 6)",19
179,deep winter / the armload of firewood / chills the kitchen,[],3,"(3, 7, 4)",14
180,mourning dove calls / my elderly neighbor stills / the sound of her hoeing,['dove'],3,"(4, 7, 5)",16
181,august morning / a window washer wiping dust / from his sunglasses,['dust'],3,"(4, 8, 5)",17
182,snowmelt / she enters / the earth on her knees,['earth'],3,"(2, 3, 5)",10
183,an old woolen sweater / taken yarn by yarn / from the snowbank,[],3,"(6, 5, 4)",15
184,a white horse / drinks from the acequia / blossoming locust,['white'],3,"(5, 6, 5)",16
185,sunlight shines red / through my father's thumb / on the steering wheel,[],3,"(5, 5, 5)",15
186,two women crying / one giving birth / the other being born,[],3,"(4, 5, 5)",14
187,approaching the family plot / my furled umbrella / turns into a cane,[],3,"(8, 6, 5)",19
188,chernobyl victim / fingers pressing the plastic / to his wife's caress,[],3,"(5, 7, 7)",19
189,cloud shadow / long enough to close / the poppies,[],3,"(3, 6, 3)",12
190,the thick clang / of a cowbell / the sun deepens,[],3,"(3, 4, 4)",11
191,roses / in the smaller room / more fragrant,[],3,"(2, 5, 3)",10
192,ninety winters / spellbound / again,[],3,"(5, 2, 2)",9
193,silent cathedral / stained glass apostles / dimming with dusk,"['glass', 'dusk']",3,"(5, 6, 4)",15
194,up the path / to touch that one oak / in last night's dream,[],3,"(3, 6, 4)",13
195,dry leaves / the old archer / curves his eyebrow,[],3,"(3, 4, 5)",12
196,soft rain / the new grave / looks old,[],3,"(2, 4, 2)",8
197,morning sneeze / the guitar in the corner / resonates,[],3,"(4, 7, 4)",15
198,dusk / a lone car going the same way / as the river,['dusk'],3,"(1, 7, 4)",12
199,first days of summer / already the leaves gather / beneath the sycamores,[],3,"(5, 8, 7)",20
200,fall leaves / the trees / the winter sky,"['winter sky', 'sky']",3,"(3, 2, 4)",9
201,so many ways / within the waterfall / for water to fall,['water'],3,"(4, 6, 5)",15
202,after the rain / on my vegetable patch / a new crop of stones,[],3,"(4, 7, 6)",17
203,frozen in mud / by the vacant shanty / lottery ticket,['mud'],3,"(4, 6, 5)",15
204,the potter's hands / gently shape the vase / out of himself,[],3,"(4, 6, 4)",14
205,watermelon rind / sitting in its own juice / the summer sun,['watermelon'],3,"(5, 7, 4)",16
206,figure drawing class / in the model's deepest shadows / a stark white string,['white'],3,"(6, 8, 5)",19
207,ebb tide / a little sea / in the shell,['sea'],3,"(2, 4, 3)",9
208,watching rain / pouring down pouring down / just watching,[],3,"(3, 6, 3)",12
209,abandoned store / large sign reading / we never close,[],3,"(6, 5, 5)",16
210,a single strand / of spider silk / stops her,[],3,"(4, 4, 2)",10
211,endlessly becoming / clouds,[],2,"(6, 1)",7
212,taking time / listening / to the grocery clerk,[],3,"(3, 3, 6)",12
213,in the yukon / sleeping with one eye shut / the summer night,[],3,"(4, 7, 4)",15
214,in soap bubbles / again and again / his face is broken,[],3,"(4, 5, 5)",14
215,yard sale / sunlight filling / mason jars,[],3,"(2, 4, 3)",9
216,leaving home / the smell of smoke / from old brick chimneys,"['smoke', 'brick']",3,"(3, 5, 5)",13
217,frozen pond / white antlers rise / through the ice,"['white', 'ice']",3,"(3, 5, 4)",12
218,june night / my mother alone with / her cancer,[],3,"(2, 7, 3)",12
219,at dinner / biting into the roast beef / the butcher's thumb nail,[],3,"(3, 7, 5)",15
220,phoning the neighbors / their real voices / through the open window,[],3,"(5, 4, 6)",15
221,repeating the lecture / his eyes following / the window cleaner's blade,[],3,"(7, 5, 7)",19
222,tools rusting / unused on the work bench / a faucet dripping,[],3,"(3, 7, 5)",15
223,full moon / peering into / the half built house,[],3,"(2, 4, 5)",11
224,dusk / drawing the pond's depth / to the surface,['dusk'],3,"(1, 5, 5)",11
225,old woman wrapping / her cat's gifts / centering the bows,[],3,"(5, 3, 5)",13
226,on the way to work / a hot air balloon / up in the mist,[],3,"(5, 5, 4)",14
227,this heat / the dog's tail / the only breeze,[],3,"(2, 3, 5)",10
228,light / up under the gull's wing / sunrise,[],3,"(1, 6, 3)",10
229,second husband / painting the fence / the same green,['green'],3,"(4, 5, 3)",12
230,such coolness / the snail stretches / its neck,[],3,"(3, 4, 2)",9
231,the one legged bird / that deep bend before / taking off,[],3,"(6, 6, 3)",15
232,bird song / lost / in bird song,[],3,"(2, 1, 3)",6
233,walking in on her / dead eyes reflecting / snowfall,[],3,"(5, 5, 2)",12
234,in the sea / the fireworks / rising,['sea'],3,"(3, 4, 2)",9
235,bird feeder untouched / alone again,[],2,"(6, 5)",11
236,circling each thigh / cool / of the night river,[],3,"(4, 1, 5)",10
237,small child / afraid to throw away / his church bulletin,[],3,"(2, 6, 5)",13
238,in utter stillness / the incense / changes direction,[],3,"(5, 4, 5)",14
239,early spring sun / the spinster combs out her hair / for nesting birds,[],3,"(4, 7, 4)",15
240,canyon / at the very edge / riversound,[],3,"(2, 6, 3)",11
241,out of its slipper / her bare foot talking / under the table,[],3,"(5, 5, 5)",15
242,burial prayers / grandson playing hide and seek / behind the stones,[],3,"(3, 6, 5)",14
243,between the fireflies / the changing shape of darkness,[],2,"(6, 8)",14
244,my father's hammer / warm again / in my hand,[],3,"(5, 3, 3)",11
245,under trees and sky / the baby studies / her hands,[],3,"(5, 5, 2)",12
246,migrating geese / once there was so much / to say,[],3,"(5, 6, 2)",13
247,sound of her voice / carrying eggs / across the ice,['ice'],3,"(5, 3, 5)",13
248,moving / with the clock tower's shadow / the flower lady,[],3,"(2, 7, 5)",14
249,heart drawn in dust / by the old indian / rain,['dust'],3,"(4, 5, 1)",10
250,whispered dusk / a fox picks its way / across the ice,['ice'],3,"(4, 5, 5)",14
251,mist / lifting / the loon's cry,[],3,"(1, 2, 3)",6
252,snowman's eye / sinking in / the spring rain,[],3,"(3, 3, 3)",9
253,autumn afternoon / i stand on the shadow / of the sparrow,['shadow'],3,"(5, 6, 4)",15
254,ten below zero / man and boy walk through their breath / to read old tombstones,[],3,"(5, 7, 6)",18
255,hot wind / the roadrunner's beak / opens and closes,[],3,"(2, 5, 5)",12
256,blackbirds descend / through the floaters / in this eye,[],3,"(4, 4, 3)",11
257,the old man / closes the shadow / in his hand,['shadow'],3,"(3, 5, 3)",11
258,spring drizzle / rounding the thorn / a drop of light,[],3,"(3, 4, 4)",11
259,horizon / wild swan drifting through / the woman's body,[],3,"(3, 5, 5)",13
260,deserted wharf / the mime bows / to the moon,[],3,"(4, 3, 3)",10
261,a spider's web / across the windharp / the silence,[],3,"(4, 5, 4)",13
262,under the back steps / catfish still flop in the pail / the long august night,[],3,"(5, 7, 5)",17
263,horns fold / at my shadow's touch / brown slug,[],3,"(2, 5, 2)",9
264,early april rain / that woman fills every jar / seals them forever,[],3,"(5, 8, 5)",18
265,dead mynah bird / with each passing car / its wing flaps,[],3,"(4, 5, 3)",12
266,picking cotton / the memory / of birdtracks in the snow,['snow'],3,"(4, 4, 6)",14
267,old tea bag / tints the moon / slightly,['tea'],3,"(3, 3, 2)",8
268,blackened walnut / left unopened / winter solstice,[],3,"(5, 5, 5)",15
269,distant woodchopper / inside the cabin / axbite echoes,[],3,"(5, 6, 5)",16
270,the gray cranes at dusk / bending in a line along / the crooked fenceposts,"['gray', 'dusk']",3,"(6, 7, 6)",19
271,checking for water / the woman finds a full moon / trapped in the cistern,['water'],3,"(5, 7, 6)",18
272,old woman / rain in the eye / of her needle,[],3,"(3, 4, 4)",11
273,the path shorter now / underfoot the crumbling leaves / the child runs ahead,[],3,"(5, 8, 5)",18
274,cry of the peacock / widens the crack / in the adobe wall,"['peacock', 'adobe']",3,"(5, 4, 6)",15
275,fields of snow / not only moonlight / but the moon,['snow'],3,"(3, 5, 3)",11
276,cold morning sea / an old man towels / himself in the sunlight,['sea'],3,"(4, 5, 6)",15
277,fields of corn stretching / as far as the eye can see / within a lost child,['corn'],3,"(5, 7, 5)",17
278,crossing the bright sky / of a near sighted swimmer / the song of a bird,['sky'],3,"(5, 7, 5)",17
279,and yet / perishable is flesh / a mountain plum,['plum'],3,"(2, 6, 4)",12
280,what thing cries out / deep inside us / cooking the turtle,[],3,"(4, 5, 5)",14
281,lights out / the firefly / inside,[],3,"(2, 4, 3)",9
282,the wind / somewhere else / bird tracks in a light snow,['snow'],3,"(2, 6, 6)",14
283,apples cooking / in the aroma / pictures of my mother canning,[],3,"(4, 5, 9)",18
284,dawn / another parting / with the moon,[],3,"(1, 5, 3)",9
285,back and forth / goldfish / hot and humid afternoon,[],3,"(3, 2, 7)",12
286,the child / points at the moon / and says bird,[],3,"(2, 4, 3)",9
287,one seagull / on a shaft of air / dawn,[],3,"(4, 5, 1)",10
288,lean man / carving / the tree's dream,[],3,"(2, 2, 3)",7
289,morning glory / folds into herself / into her folds,[],3,"(4, 5, 4)",13
290,from behind me / the shadow of the ticket taker / comes down the aisle,['shadow'],3,"(4, 9, 6)",19
291,part of a dog / walking by upside down / in the roadside puddle,[],3,"(4, 7, 7)",18
292,where the ripple was / the fisherman casts his line / another ripple,[],3,"(6, 7, 5)",18
293,quiet strokes / of night swimmer the slap / of beaver tails,['beaver'],3,"(3, 6, 4)",13
294,never expecting / the lilies in november / nor the small coffin,[],3,"(5, 7, 5)",17
295,the room's smallness / fills with light / this morning of snow,['snow'],3,"(4, 3, 5)",12
296,the way of the conch / blueing in the sea and / echoing in the wind,['sea'],3,"(5, 5, 5)",15
297,leaving / all the morning glories / closed,[],3,"(2, 6, 2)",10
298,old frog / up to his ears / in moonlight,[],3,"(2, 4, 3)",9
299,reaching into sky / the girl breaks the wish / bone of geese,"['sky', 'bone']",3,"(5, 5, 4)",14
300,in a dark bag / onions / sprouting,['dark'],3,"(4, 2, 2)",8
301,still lake / a hawk makes off / with its image,[],3,"(2, 5, 5)",12
302,skiers / standing / on the wind,[],3,"(1, 2, 3)",6
303,play date / the awkwardness / of naked barbies,[],3,"(2, 4, 5)",11
304,graffiti / i choose a bench that supports / my views,[],3,"(3, 8, 2)",13
305,family reunion / proof we are alone / in the universe,[],3,"(5, 7, 6)",18
306,forest walk / the chirp / of each text,[],3,"(3, 2, 3)",8
307,bird watching / from the dentists chair / hum of the buffer,[],3,"(3, 5, 5)",13
308,tangled shadows / lying about / whats making them,[],3,"(4, 4, 4)",12
309,flea market / we once had / it all,[],3,"(3, 3, 2)",8
310,family cookout / enough of everyone / to go around,[],3,"(5, 7, 4)",16
311,back pain / again i pick up / unsaid words,[],3,"(2, 5, 3)",10
312,sunrise / no one in line / for tickets,[],3,"(3, 5, 3)",11
313,a fish / in the herons bill / town gossip,[],3,"(2, 5, 3)",10
314,single again / the woman / in my dream,[],3,"(4, 3, 3)",10
315,estate sale / the hard / erasers,[],3,"(4, 2, 3)",9
316,sacred shrine / worshippers raise / their selfie sticks,[],3,"(4, 5, 4)",13
317,grass trampled / by demonstrators / earth day,"['grass', 'earth']",3,"(3, 5, 2)",10
318,independence day parade / a child marches / in the wrong direction,['independence'],3,"(9, 4, 6)",19
319,sleepless and alone / i search for new friends / on facebook,[],3,"(6, 5, 4)",15
320,night crossing / tijuana border guard / in sunglasses,[],3,"(3, 6, 4)",13
321,small town / the same dream / as last night,[],3,"(2, 3, 3)",8
322,half empty cup / i decide ive had enough / of you,[],3,"(4, 9, 2)",15
323,middle age / in the mirror / the turn toward it,[],3,"(4, 4, 5)",13
324,wedding day / the time he takes / to knot the tie,[],3,"(3, 5, 4)",12
325,stick figures / including one / i recognize,[],3,"(4, 5, 5)",14
326,boy girl party / the slow speed / of the blender,[],3,"(4, 3, 4)",11
327,life and death decisions / the need to feel / the satin lining,[],3,"(6, 4, 5)",15
328,perfect storm / the perfume not hers,[],2,"(3, 6)",9
329,phantom pain / the shape of her / in a stranger,[],3,"(3, 5, 4)",12
330,death watch / she dies peacefully / in their sleep,[],3,"(2, 6, 3)",11
331,rain gauge / the pastor talks / about grief,[],3,"(3, 4, 3)",10
332,waiting room / a fly climbs the stairs / on an escher print,[],3,"(3, 5, 5)",13
333,my third glass of wine / the mosquito / comes back for seconds,"['glass', 'wine']",3,"(5, 4, 6)",15
334,philosophy class / i talk myself / into a corner,[],3,"(5, 4, 5)",14
335,old faithful / the crowd arrives / right on time,[],3,"(3, 5, 3)",11
336,undressing / the summer wind / turns color,[],3,"(3, 4, 3)",10
337,father's day / a potato / without a face,[],3,"(3, 4, 4)",11
338,stirring my coffee / every which way / flamenco,['coffee'],3,"(5, 5, 3)",13
339,a watermelon smile / drips off the end / of my elbows,['watermelon'],3,"(7, 4, 4)",15
340,trick or treat / a sailboat's name / reflects in the sea,['sea'],3,"(3, 4, 5)",12
341,martin luther king day / i readjust / my rear view mirror,[],3,"(6, 3, 5)",14
342,my skeleton / going for a walk / in the cemetery,[],3,"(4, 4, 6)",14
343,mother's day / she puts me / on hold,[],3,"(3, 3, 2)",8
344,the stylist / rinses away / the sound of her voice,[],3,"(3, 4, 6)",13
345,their first thanksgiving / posing together / with the turkey,[],3,"(5, 5, 4)",14
346,graduation day / in the gait of our son / your younger strid,[],3,"(4, 6, 4)",14
347,kona wind / an ocean between me / and my worries,['ocean'],3,"(3, 6, 4)",13
348,new bride / the squeak of her / sweet corn being shucked,['corn'],3,"(3, 4, 5)",12
349,old timers' game / seventh inning stretch / the creaking of knees,[],3,"(4, 5, 5)",14
350,street corner memorial / my four year old / asks for the balloon,[],3,"(6, 4, 5)",15
351,busy italian restaurant / happy birthday / sung to the wrong table,[],3,"(8, 4, 6)",18
352,tokyo vending machine / the long line / behind the foreigner,[],3,"(7, 3, 6)",16
353,old palm reader / my life line / her longest yet,[],3,"(4, 3, 4)",11
354,engagement ring / he decides / it looks real enough,[],3,"(5, 4, 5)",14
355,parade march / the old vet with canes / refuses to ride,[],3,"(4, 6, 5)",15
356,first day of school / her brother's backpack / with legs,[],3,"(4, 5, 2)",11
357,inviting aromas / the hostess asks / will it just be me,[],3,"(6, 4, 5)",15
358,our pilot hopes / to see us again real soon / the intercom clicks,[],3,"(5, 7, 5)",17
359,candlelight dinner / she fingers the rose / to see it it's real,[],3,"(5, 5, 5)",15
